Word              Count
fanned            1
fanning           1
far               13
farm-yard         1
farmer            1
farther           1
fashion           2
fast              4
faster            3
fat               1
father            6
favoured          1
favourite         1
fear              4
feared            1
feather           1
feathers          1
feeble            2
feebly            1
feel              8
feeling           7
feelings          2
feet              19
fell              6
fellow            4
fellows           1
felt              23
fender            1
ferrets           2
fetch             7
few               9
fidgeted          1
field             1
fifteen           1
fifteenth         1
fifth             1
fig               1
fight             2
fighting          1
figure            3
figures           1
filled            3
fills             1
find              21
finding           3
finds             1
fine              2
finger            5
finish            5
finished          12
finishing         1
fire              3
fire-irons        1
fireplace         1
first             51
fish              4
fish-footman      2
fishes            1
fit               3
fits              1
fitted            1
five              8
fix               1
fixed             1
flame             1
flamingo          5
flamingoes        2
flapper           1
flappers          1
flashed           1
flat              2
flavour           1
flew              1
flinging          1
flock             1
floor             3
flower-beds       1
flower-pot        1
flowers           2
flown             1
flung             1
flurry            1
flustered         1
fluttered         1
fly               3
flying            1
folded            3
folding           1
follow            2
followed          8
follows           3
fond              4
foolish           1
foot              10
footman           10
footman's         1
footmen           1
footsteps         2
for               153
forehead          2
forepaws          1
forget            2
forgetting        3
forgot            2
forgotten         6
fork              1
form              1
fortunately       1
forty-two         1
forwards          1
found             32
fountains         2
four              6
fourteenth        1
fourth            1
france            1
free              3
french            4
friend            3
friends           2
fright            2
frighten          1
frightened        7
frog              2
frog-footman      1
from              36
front             2
frontispiece      1
frowning          4
frying-pan        1
ful               1
fulcrum           1
full              6
fumbled           1
fun               3
funny             3
fur               3
furious           1
furiously         1
furrow            1
furrows           1
further           3
fury              3
gained            1
gallons           1
game              12
game's            1
games             1
garden            16
gardeners         8
gather            1
gave              15
gay               1
gazing            1
general           3
generally         7
gently            3
geography         1
get               46
getting           22
giddy             2
girl              4
girls             3
give              12
given             1
giving            2
glad              11
glanced           1
glaring           1
glass             10
globe             1
gloomily          1
gloves            11
go                50
goes              7
going             27
golden            7
goldfish          2
gone              13
good              25
good-bye          1
good-naturedly    1
goose             2
got               45
graceful          1
grammar           1
grand             3
grant             1
grass             4
grave             3
gravely           3
gravy             1
grazed            1
great             39
green             4
grew              1
grey              1
grief             1
grin              6
grinned           3
grinning          1
grins             1
ground            5
grow              13
growing           11
growl             3
growled           1
growling          1
growls            1
grown             7
grumbled          1
grunt             1
grunted           4
gryphon           55
guard             1
guess             3
guessed           3
guests            3
guilt             1
guinea-pig        2
guinea-pigs       4
had               178
hadn't            8
hair              7
half              21
half-past         2
hall              9
hand              20
handed            3
hands             12
handsome          1
handwriting       1
hanging           3
happen            8
happened          7
happening         1
happens           5
happy             1
hard              8
hardly            12
hare              31
harm              1
has               7
hasn't            2
haste             1
hastily           16
hat               1
hatching          1
hate              2
hated             1
hatter            55
hatter's          1
hatters           1
have              80
haven't           8
having            10
he                120
he'd              1
he'll             1
he's              3
head              49
head's            1
heads             10
heap              1
hear              14
heard             30
hearing           4
heart             2
hearth            1
hearthrug         1
hearts            8
heavy             2
hedge             2
hedgehog          7
hedgehogs         3
hedges            1
heels             1
height            5
held              4
help              9
helped            1
helpless          1
her               248
herald            1
here              51
hers              4
herself           83
hid               1
hide              1
high              16
highest           1
him               43
himself           6
hint              2
hippopotamus      1
his               96
hiss              1
histories         1
history           7
hit               2
hjckrrh           1
hm                1
hoarse            3
hoarsely          1
hold              10
holding           3
holiday           1
hollow            1
home              5
honest            1
honour            4
hookah            5
hope              3
hoped             1
hopeful           1
hopeless          1
hoping            3
hot               5
hot-tempered      1
hour              2
hours             4
house             18
housemaid         1
houses            1
how               68
however           20
howled            1
howling           3
humble            1
humbly            2
hundred           1
hung              1
hungry            3
hunting           3
hurried           11
hurriedly         2
hurry             11
hurrying          1
hurt              3
hush              3
i                 410
i'd               11
i'll              31
i'm               59
i've              34
idea              15
idiot             1
idiotic           1
if                96
ignorant          1
ii                1
iii               1
ill               2
imagine           2
imitated          1
immediate         1
immediately       3
immense           1
impatient         1
impatiently       5
impertinent       1
important         7
impossible        3
improve           1
in                367
incessantly       1
inches            6
inclined          1
indeed            16
indignant         1
indignantly       4
injure            1
ink               1
inkstand          1
inquired          1
inquisitively     1
inside            2
insolence         1
instance          3
instantly         5
instead           3
insult            1
interest          1
interesting       5
interrupt         1
interrupted       9
interrupting      2
into              67
introduce         2
introduced        1
invent            1
invented          1
invitation        2
invited           2
involved          1
inwards           1
irritated         1
is                108
isn't             7
it                530
it'll             8
it's              57
its               57
itself            14
iv                1
ix                1
jack-in-the-box   1
